flaketype,frequencyghz,temperaturek,aeffum,max_dimension_mm,cabs,cbk,cext,csca,g,ar
8,3.000000,273.149994,65.699997,0.200000,1.531133e-14,3.263998e-18,1.531351e-14,2.179332e-18,1.840200e-04,-1.000000
8,3.000000,273.149994,81.300003,0.300000,3.165617e-14,1.243693e-17,3.166448e-14,8.304321e-18,1.886200e-04,-1.000000
8,3.000000,273.149994,108.400002,0.400000,7.503439e-14,6.987627e-17,7.508104e-14,4.665747e-17,1.959000e-04,-1.000000
8,3.000000,273.149994,112.199997,0.500000,8.523602e-14,8.681377e-17,8.529397e-14,5.795907e-17,2.024800e-04,-1.000000
8,3.000000,273.149994,155.699997,0.750000,2.314808e-13,6.262298e-16,2.318991e-13,4.183166e-16,2.296000e-04,-1.000000
8,3.000000,273.149994,201.000000,1.000000,5.116413e-13,2.964726e-15,5.136252e-13,1.983941e-15,2.678500e-04,-1.000000
8,3.000000,273.149994,214.000000,1.500000,6.658414e-13,4.552969e-15,6.688890e-13,3.047648e-15,3.624000e-04,-1.000000
8,3.000000,273.149994,346.899994,2.000000,2.606332e-12,7.746682e-14,2.658141e-12,5.180907e-14,5.163300e-04,-1.000000
8,3.000000,273.149994,417.500000,2.500000,4.602407e-12,2.380391e-13,4.761375e-12,1.589681e-13,6.731000e-04,-1.000000
8,3.000000,273.149994,446.799988,3.000000,5.693581e-12,3.592435e-13,5.936140e-12,2.425592e-13,8.870000e-04,-1.000000
8,3.000000,273.149994,544.000000,3.500000,1.011153e-11,1.154184e-12,1.088670e-11,7.751739e-13,1.158900e-03,-1.000000
8,3.000000,273.149994,567.000000,4.000000,1.152093e-11,1.483046e-12,1.251578e-11,9.948580e-13,1.447100e-03,-1.000000
8,3.000000,273.149994,648.299988,5.000000,1.726937e-11,3.304396e-12,1.948815e-11,2.218782e-12,2.148800e-03,-1.000000
8,3.000000,273.149994,772.499939,6.000000,2.900449e-11,9.361401e-12,3.529095e-11,6.286462e-12,3.024000e-03,-1.000000
8,3.000000,273.149994,857.599976,7.000000,3.999830e-11,1.755893e-11,5.183859e-11,1.184029e-11,4.046000e-03,-1.000000
8,3.000000,273.149994,1002.599976,8.000000,6.318426e-11,4.411667e-11,9.300226e-11,2.981800e-11,5.239500e-03,-1.000000
8,3.000000,273.149994,1102.300049,9.000000,8.423505e-11,7.761840e-11,1.369015e-10,5.266647e-11,6.575400e-03,-1.000000
8,3.000000,273.149994,1123.099976,10.000000,8.928266e-11,8.618235e-11,1.479736e-10,5.869094e-11,8.005500e-03,-1.000000
9,3.000000,273.149994,25.000000,0.050000,6.963929e-16,8.707212e-21,6.963987e-16,5.812928e-21,1.790400e-04,-1.000000
9,3.000000,273.149994,50.000000,0.100000,5.571143e-15,5.572576e-19,5.571515e-15,3.720274e-19,1.806600e-04,-1.000000
